,timestep,depth,Salinity,Theta
598,598,-90.45586,36.23945,24.306995
599,599,-90.60628,36.239784,24.306711
600,600,-90.75671,36.240124,24.306427
601,601,-90.907135,36.240463,24.306143
602,602,-91.05756,36.240803,24.305857
603,603,-91.20799,36.241142,24.305573
604,604,-91.35842,36.241478,24.305288
605,605,-91.50885,36.241817,24.305004
606,606,-91.65928,36.242157,24.30472
607,607,-91.8097,36.242496,24.304434
608,608,-91.96013,36.242836,24.30415
609,609,-92.11056,36.24317,24.303865
610,610,-92.26099,36.24351,24.303581
611,611,-92.411415,36.24385,24.303297
612,612,-92.561844,36.24419,24.303013
613,613,-92.71227,36.24453,24.302727
614,614,-92.8627,36.244865,24.302443
615,615,-93.01313,36.245205,24.302158
616,616,-93.16355,36.245544,24.301874
617,617,-93.31398,36.245884,24.30159
618,618,-93.46441,36.246223,24.301306
619,619,-93.61484,36.24656,24.30102
620,620,-93.76527,36.2469,24.300735
621,621,-93.915695,36.24724,24.300451
622,622,-94.066124,36.247578,24.300167
623,623,-94.21655,36.247917,24.299883
624,624,-94.366974,36.248253,24.299597
625,625,-94.5174,36.248592,24.299313
626,626,-94.66783,36.24893,24.299028
627,627,-94.81826,36.24927,24.298744
628,628,-94.96869,36.24961,24.29846
629,629,-95.11912,36.249947,24.298176
630,630,-95.26955,36.250286,24.29789
631,631,-95.419975,36.250626,24.297606
632,632,-95.5704,36.250965,24.297321
633,633,-95.720825,36.251305,24.297037
634,634,-95.871254,36.251644,24.296753
635,635,-96.02168,36.25198,24.296469
636,636,-96.17211,36.25232,24.296183
637,637,-96.32254,36.25266,24.295898
638,638,-96.47297,36.253,24.295614
639,639,-96.6234,36.253338,24.29533
640,640,-96.77382,36.253674,24.295046
641,641,-96.92425,36.254013,24.29476
642,642,-97.07468,36.254353,24.294476
643,643,-97.225105,36.254692,24.294191
644,644,-97.375534,36.25503,24.293907
645,645,-97.52596,36.255367,24.293623
646,646,-97.67639,36.255707,24.293339
647,647,-97.82682,36.256046,24.293053
648,648,-97.97725,36.256386,24.292768
649,649,-98.12767,36.256725,24.292484
650,650,-98.2781,36.25706,24.2922
651,651,-98.42853,36.2574,24.291916
652,652,-98.57896,36.25774,24.29163
653,653,-98.729385,36.25808,24.291346
654,654,-98.879814,36.25842,24.291061
655,655,-99.03024,36.258755,24.290777
656,656,-99.18067,36.259094,24.290493
657,657,-99.33109,36.259434,24.290209
