timestep,depth,Salinity
871,-99.330025,36.25943
872,-99.44349,36.259754
873,-99.55696,36.26011
874,-99.670425,36.260468
875,-99.78389,36.260826
876,-99.89736,36.26118
877,-100.010826,36.26154
878,-100.1243,36.261898
879,-100.23776,36.262253
880,-100.35123,36.26261
881,-100.4647,36.26297
882,-100.57816,36.263325
883,-100.69163,36.263683
884,-100.8051,36.264038
885,-100.918564,36.264397
886,-101.032036,36.264755
887,-101.1455,36.26511
888,-101.258965,36.26547
889,-101.37244,36.265827
890,-101.4859,36.266182
891,-101.59937,36.26654
892,-101.71284,36.2669
893,-101.8263,36.267254
894,-101.93977,36.267612
895,-102.05324,36.26797
896,-102.1667,36.268326
897,-102.280174,36.268684
898,-102.39364,36.269043
899,-102.50711,36.269398
900,-102.620575,36.269756
901,-102.73404,36.270115
902,-102.84751,36.27047
903,-102.960976,36.27083
904,-103.07445,36.271183
905,-103.18791,36.27154
906,-103.30138,36.2719
907,-103.41485,36.272255
908,-103.52831,36.272614
909,-103.641785,36.272972
910,-103.75525,36.273327
911,-103.86871,36.273685
912,-103.982185,36.274044
913,-104.09565,36.2744
914,-104.209114,36.274757
915,-104.322586,36.275116
916,-104.43605,36.27547
917,-104.54952,36.27583
918,-104.66299,36.276188
919,-104.77645,36.276543
920,-104.88992,36.2769
921,-105.00339,36.27726
922,-105.11686,36.277615
923,-105.23032,36.277973
924,-105.34379,36.278328
925,-105.45726,36.278687
926,-105.570724,36.279045
927,-105.68419,36.2794
928,-105.79766,36.27976
929,-105.911125,36.280117
930,-106.0246,36.28047
931,-106.13806,36.28083
932,-106.251526,36.28119
933,-106.365,36.281544
934,-106.47846,36.281902
935,-106.591934,36.28226
936,-106.7054,36.282616
937,-106.81886,36.282974
938,-106.932335,36.283333
939,-107.0458,36.283688
940,-107.15927,36.284046
941,-107.272736,36.284405
942,-107.3862,36.28476
943,-107.49967,36.28512
944,-107.61314,36.285473
945,-107.7266,36.28583
946,-107.84007,36.28619
947,-107.95354,36.286545
948,-108.06701,36.286903
949,-108.18047,36.287262
950,-108.29394,36.287617
951,-108.40741,36.287975
952,-108.520874,36.288334
953,-108.634346,36.28869
954,-108.74781,36.289047
955,-108.861275,36.289406
956,-108.97475,36.28976
957,-109.08821,36.29012
958,-109.201675,36.290478
959,-109.31515,36.290833
960,-109.42861,36.29119
961,-109.54208,36.29155
962,-109.65555,36.291904
963,-109.76901,36.292263
964,-109.882484,36.292618
965,-109.99595,36.292976
966,-110.10942,36.293335
967,-110.222885,36.29369
968,-110.33635,36.29405
969,-110.44982,36.294407
970,-110.563286,36.29476
971,-110.67676,36.29512
972,-110.79022,36.29548
973,-110.90369,36.295834
974,-111.01716,36.296192
975,-111.13062,36.29655
976,-111.24409,36.296906
977,-111.35756,36.297264
978,-111.47102,36.297623
979,-111.584496,36.297977
980,-111.69796,36.29852
981,-111.811424,36.29909
982,-111.9249,36.299664
983,-112.03836,36.300232
984,-112.15183,36.300804
985,-112.2653,36.301376
986,-112.37876,36.301945
987,-112.49223,36.302517
988,-112.6057,36.30309
989,-112.71916,36.303658
990,-112.832634,36.30423
991,-112.9461,36.304802
992,-113.05957,36.30537
993,-113.173035,36.305943
994,-113.2865,36.306515
995,-113.39997,36.307087
996,-113.513435,36.307655
997,-113.62691,36.308228
998,-113.74037,36.3088
999,-113.853836,36.30937
1000,-113.96731,36.30994
1001,-114.08077,36.310513
1002,-114.19424,36.31108
1003,-114.30771,36.311653
1004,-114.42117,36.312225
1005,-114.534645,36.312794
1006,-114.64811,36.313366
1007,-114.76157,36.31394
1008,-114.875046,36.314507
1009,-114.98851,36.31508
1010,-115.10198,36.31565
1011,-115.21545,36.31622
1012,-115.32891,36.31679
1013,-115.44238,36.317364
1014,-115.55585,36.317936
1015,-115.66932,36.318504
1016,-115.78278,36.319077
1017,-115.89625,36.31965
1018,-116.00972,36.320217
1019,-116.123184,36.32079
1020,-116.23665,36.32136
1021,-116.35012,36.32193
1022,-116.463585,36.322502
1023,-116.57706,36.323074
1024,-116.69052,36.323643
1025,-116.803986,36.324215
1026,-116.91746,36.324787
1027,-117.03092,36.325356
1028,-117.144394,36.325928
1029,-117.25786,36.3265
1030,-117.37132,36.32707
1031,-117.484795,36.32764
1032,-117.59826,36.328213
1033,-117.71172,36.328785
1034,-117.825195,36.329353
1035,-117.93866,36.329926
1036,-118.05213,36.330498
1037,-118.165596,36.331066
1038,-118.27906,36.33164
1039,-118.39253,36.33221
1040,-118.506,36.33278
1041,-118.61947,36.33335
1042,-118.73293,36.333923
1043,-118.8464,36.33449
1044,-118.95987,36.335064
1045,-119.07333,36.335636
1046,-119.186806,36.336205
1047,-119.30027,36.336777
1048,-119.413734,36.33735
1049,-119.52721,36.337917
1050,-119.64067,36.33849
1051,-119.754135,36.33906
1052,-119.86761,36.339634
1053,-119.98107,36.340202
1054,-120.09454,36.340775
1055,-120.20801,36.341347
1056,-120.32147,36.341915
1057,-120.434944,36.342487
1058,-120.54841,36.34306
1059,-120.66188,36.343628
1060,-120.775345,36.3442
1061,-120.88881,36.344772
